City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
555,arraial do cabo,-22.9661,-42.0278,84.16,74,20,24.16,BR,1701193340
556,la ronge,55.1001,-105.2842,34.05,64,20,12.66,CA,1701193341
557,holualoa,19.6228,-155.9522,69.78,84,100,5.75,US,1701193341
558,crane,31.3974,-102.3501,52.05,40,27,9.6,US,1701193342
559,nabire,-3.3667,135.4833,77.13,85,100,12.71,ID,1701193342
560,keelung,25.1283,121.7419,71.1,69,5,18.99,TW,1701193112
561,nashik,19.9833,73.8,67.98,83,0,4.32,IN,1701193343
562,sayat,38.7839,63.8803,64.27,28,95,7.94,TM,1701193343
563,krasnoye-na-volge,57.5125,41.2419,20.01,94,93,9.95,RU,1701193344
564,ploudalmezeau,48.5333,-4.65,46.65,81,20,2.3,FR,1701193344
565,hanzhong,33.0728,107.0303,51.82,69,71,3.33,CN,1701193345
566,yar,58.249,52.1026,22.82,98,100,2.48,RU,1701193345
567,bowen,-20.0167,148.2333,78.13,84,72,10.31,AU,1701193346
568,pacocha,-17.5833,-71.3333,73.54,60,0,6.91,PE,1701193346
569,puerto lleras,3.0223,-73.4044,81.97,84,41,4.81,CO,1701193347
570,zouerate,22.7187,-12.4521,73.26,12,88,6.49,MR,1701193347
571,bhimunipatnam,17.8833,83.4333,74.71,88,39,3.8,IN,1701193347
572,the pas,53.8251,-101.2541,32.02,80,100,14.97,CA,1701193348
573,dalandzadgad,43.5708,104.425,8.94,60,0,2.53,MN,1701193348
574,mengcheng chengguanzhen,33.2661,116.566,51.35,43,100,4.09,CN,1701193349
575,xishan,27.6667,113.5,54.43,75,34,4.14,CN,1701193349
576,denkanikota,12.5333,77.8,73.72,98,72,5.03,IN,1701193349
577,nkpor,6.1516,6.8446,81.05,74,100,6.85,NG,1701193350
578,norilsk,69.3535,88.2027,-12.33,97,40,5.5,RU,1701193350
579,wewak,-3.5534,143.6268,78.78,86,90,5.19,PG,1701193350
580,coron,11.9986,120.2043,81.21,81,7,5.39,PH,1701193351
581,maintirano,-18.0667,44.0167,82.6,77,93,4.59,MG,1701193352
582,mujiayingzi,42.1167,118.7833,10.35,40,0,14.0,CN,1701193352
583,atasu,48.6814,71.6433,40.86,52,93,7.31,KZ,1701193353
584,hammerfest,70.6634,23.6821,32.45,74,75,6.91,NO,1701193353
585,al muwayh,22.4333,41.7583,78.46,30,10,8.32,SA,1701193354
586,wajir,1.7471,40.0573,85.64,43,28,6.46,KE,1701193354
587,mildura,-34.2,142.15,62.08,90,99,18.75,AU,1701193355
588,juva,56.4368,57.9478,32.29,98,100,3.0,RU,1701193355
589,nyurba,63.2842,118.3319,-4.77,95,19,5.66,RU,1701193356
590,ad darb,17.7229,42.2526,84.11,69,2,8.19,SA,1701193357
591,gua musang,4.8823,101.9644,73.94,99,100,1.79,MY,1701193357
